Fiscal Year,Quarter,Filing Date,Report Date,Revenue,Cost of Sales,Gross Profit,SG&A,Depreciation and amortization,amortization of goodwill,Goodwill impairments,asset impairments,gain on sale of assets,merger-related expenses,Operating earnings,"Other loss, net","Interest expense (income), net",Debt extinguishment expense,Merger-related interest expense,Earnings before income taxes,Income tax expense (negative number is benefit),Net Earnings,Net EPS,Weighted average shares outstanding basic,Total assets,Total debt,Total liabilities,Stockholders' equity,DRS,URL
2017,Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-17-000127
2017,Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,https://investor.gamestop.com/sec-filings/sec-filing/10-q/0001326380-17-000106
2017,Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,https://investor.gamestop.com/static-files/114b5cdb-d403-46e0-a143-989f944d9bcb
2016,Q4,,2017-01-28,,,,,,,,,,,,,,,,,,,,,,,,,0,
2016,Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,https://investor.gamestop.com/static-files/8ac7a2ab-028d-4ed6-b089-05d8944b1dd3
2016,Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,https://investor.gamestop.com/static-files/eda4df5d-1c1c-4451-a060-ea2cb0fa9efe
2016,Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,https://investor.gamestop.com/static-files/566be0b2-4564-41d6-82e9-4d48b636b117
2015,Q4,,2016-01-30,,,,,,,,,,,,,,,,,,,,,,,,,0,
2015,Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,https://investor.gamestop.com/static-files/c7c5c79f-c8b1-423a-a12a-bfdb3a3d5fe8
2015,Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,https://investor.gamestop.com/static-files/2429d522-7769-44ce-b5c0-18cce6972a32
2015,Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,https://investor.gamestop.com/static-files/2b2a975a-35ff-4690-b96e-cb7305cd5f93
